"","word_clean","score"
"145","admonester",-2
"146","admonisher",-2
"147","admonishingly",-2
"148"," réprimandes",-2
"149","exhortation",-2
"150"," adolescents",0
"151"," adolescents",0
"152","adorable",2
"153","adore",2
"154","adoré",2
"155","adorateur",2
"156","adorateur",2
"157","adorant",2
"158","adoringly",2
"159","  dérive",-1
"160","adroit",2
"161","adroitement",2
"162","adulate",2
"163","adulation",2
"164","adulatory",2
"165","falsifier",-2
"166","falsifiés",-2
"167"," falsification",-2
"168","avancé",1
"169","avantage",1
"170","avantage",1
"171","avantageux",2
"172","avantages",1
"173","avantages",1
"174","aventure",1
"175","aventure",1
"176","aventureux",2
"177","aventurisme",2
"178","aventureux",1
"179","contradictoire",-1
"180","adversaire",-1
"181","indésirables",-1
"182","adversité",-2
"183","conseils",1
"184","conseils",1
"185","conseillé",1
"186","avocat",2
"187","plaidoyer",2
"188","affable",2
"189","affabilité",1
"190","affably",1
"191","affecter",0
"192","affectation",-1
"193","touchés",0
"194","affection",2
"195","affection",2
"196","affectueux",2
"197","affinité",1
"198","affirmer",2
"199","affirmation",2
"200","affirmation",2
"201","affirmatif",1
"202","affligent",-1
"203","affliction",-1
"204","affligeantes",-2
"205","riches",1
"206"," richesse",1
"207"," moyens",1
"208","abordable",1
"209","affront",-2
"210","affront",-2
"211"," flot",1
"212","peur",-2
"213","contre",-1
"214","aggraver",-2
"215","aggravante",-2
"216","aggravation",-2
"217","agression",-2
"218","agression",-2
"219","agressif",-2
"220","agressivité",-2
"221","agresseur",-2
"222","peiner",-2
"223","lésée",-2
"224","atterrés",-2
"225","agile",1
"226","agilely",1
"227","agilité",1
"228","agiter",-2
"229","agité",-2
"230","agitation",-2
"231","agitateur",-2
"232","agonies",-2
"233","agoniser",-2
"234","agonie",-2
"235","agonie",-2
"236","atrocement",-2
"237","agonie",-2
"238","accord",2
"239","agrément",2
"240","agréable",1
"241","agréable",2
"242","amabilité",2
"243","agréablement",2
"244","accord",1
"245","accord",1
"246","aha",0
"247","ail",-1
"248","ail",-1
"249","maladie",-1
"250"," but",-2
"251","air",0
"252","airs",-1
"253","airs",-1
"254","alarme",-1
"255","alarme",-1
"256","alarmé",-2
"257","alarmant",-2
"258"," façon alarmante",-2
"259","hélas",-2
"260","alert",0
"261","aliéner",-1
"262","aliéné",-1
"263","aliénation",-1
"264"," tous  temps",0
"265"," tous  temps",0
"266","apaiser",2
"267","allégation",-2
"268"," allégations",-2
"269","allege",-1
"270"," allégations",-2
"271","allegorize",0
"272","allergique",-1
"273","soulager",1
"274","alliance",0
"275","alliances",0
"276","alliances",0
"277","permettre",1
"278","admissibles",1
"279","allure",2
"280","allure",2
"281","séduisante",2
"282","séduisants",2
"283","allusion",0
"284","allusion",0
"285"," allusions",0
"286","allié",2
"287","tout-puissant",2
"288","écart",-2
"289","altercation",-1
"290","bien ",-1
"291"," total",0
"292","altruiste",2
"293","altruiste",2
"294","altruiste",2
"295","étonner",2
"296","étonné",2
"297","étonnement",2
"298","incroyable",2
"299","incroyable",2
"300","étonnamment",2
"301","ambigu",-2
"302","ambiguïté",-2
"303","ambitieux",1
"304","ambitieux",1
"305"," manière ambitieuse",1
"306","ambivalence",-2
"307","ambivalente",-2
"308","ambivalente",-2
"309","embuscade",-1
"310","embuscade",-1
"311","améliorer",2
"312","prête",2
"313"," commodités",1
"314"," amabilité",2
"315","amiabily",2
"316","aimable",2
"317","amabilité",2
"318"," amiable",2
"319"," amiable",2
"320","mal",-2
"321","amitié",1
"322","amitié",1
"323","amnesty",1
"324","amour",2
"325","ample",1
"326","amplement",1
"327","amplifier",0
"328","amputer",-1
"329","amuse",2
"330","attractions",2
"331","attractions",2
"332","amusant",2
"333","amusant",2
"334"," manière amusante",2
"335","analyse",0
"336","anarchisme",-2
"337","anarchiste",-2
"338","anarchiste",-2
"339","anarchie",-2
"340","anémique",-1
"341","angel",1
"342","angélique",2
"343"," colère",-2
"344"," colère",-2
"345"," colère",-2
"346"," colère",-2
"347","angriness",-2
"348"," colère",-2
"349","angoisse",-2
"350","angoisse",-2
"351","annihiler",-2
"352","annihilation",-2
"353","animé",1
"354","animosité",-2
"355","ennuyer",-2
"356"," gêne",-2
"357","agacé",-2
"358","ennuyeux",-2
"359","ennuyeux",-2
"360","fâcheusement",-2
"361","anormale",-1
"362","anomalie",-1
"363","antagonisme",-2
"364","antagoniste",-1
"365","antagonistes",-2
"366","antagoniser",-2
"367","anti-",-2
"368","anti-Américaine",-2
"369","anti-Américaine",-2
"370","anti-Israélien",-2
"371","anti-Israélien",-2
"372","anti-Sémites",-2
"373","anti-Sémites",-2
"374","anti-US",-2
"375","anti-US",-2
"376","anti-occupation",-2
"377","anti-occupation",-2
"378","anti-prolifération",-2
"379","anti-prolifération",-2
"380","anti-sociale",-2
"381","anti-blanc",-2
"382","anti-blanc",-2
"383","antipathie",-2
"384","archaïque",-2
"385","antithèse",-2
"386","antithèse",-2
"387"," angoisses",-2
"388","anxiété",-2
"389","anxieux",-2
"390"," impatience",-2
"391","anxiété",-2
"392"," toute façon",0
"393"," toute façon",0
"394"," toute façon",0
"395","apathique",-2
"396","apathique",-2
"397","apatiquement",-2
"398","apathie",-2
"399","ape",-2
"400","apocalypse",-2
"401","apocalyptique",-2
"402","apologiste",-2
"403","apologiste",-2
"404"," apologistes",-2
"405"," apologistes",-2
"406","apôtre",2
"407","apôtre",2
"408","apothéose",2
"409","apothéose",2
"410","appal",-2
"411","scandaliser",-2
"412","scandaliser",-2
"413","scandaliser",-2
"414","consterné",-2
"415","effroyable",-2
"416","terriblement",-2
"417","apparente",0
"418","apparemment",0
"419","appel",1
"420","appel",1
"421","appel",1
"422","attrayant",2
"423","apparaissent",0
"424","apparence",0
"425","apparence",0
"426","apaiser",1
"427","applaudir",2
"428","appréciable",1
"429","apprécier",2
"430","appréciation",2
"431","appréciation",2
"432","reconnaissante",2
"433","environs",2
"434","appreciativeness",2
"435","appréhender",0
"436","appréhension",-2
"437"," appréhensions",-2
"438"," appréhensions",-2
"439","appréhension",-2
"440","appréhension",-2
"441","appréhension",-2
"442","approprié",1
"443","approbation",1
"444","approuver",1
"445","apt",1
"446","bien",1
"447","aptitude",1
"448","arbitraire",-2
"449"," arcanes",-2
"450","archaïque",-2
"451","ardent",2
"452","ardemment",2
"453","ardeur",2
"454","ardu",-2
"455","ferveur",-2
"456","aristocratique",1
"457","argumenter",-2
"458","argument",-1
"459","argument",-1
"460","argumentatif",-2
"461","arguments",-1
"462","arguments",-1
"463","excitation",2
"464","susciter ",2
"465","éveiller",2
"466","arrestation ",2
"467","arrogance",-2
"468","arrogant",-2
"469","arrogant",-2
"470"," arrogance",-2
"471"," arrogance",-2
"472","articuler",2
"473","artificielle",-1
"474","ascendant",2
"475","ascendant",2
"476","vérifiable",2
"477","vérifiable",2
"478","honte",-2
"479","stupide",-2
"480","asininely",-2
"481","asinininity",-2
"482"," travers",-2
"483","asperse",-2
"484","aspersion",-2
"485","aspersions",-2
"486","aspiration",2
"487","aspirations",2
"488","aspirations",2
"489","aspire",2
"490","assaillent",-1
"491","assassiner",-1
"492","assassin",-2
"493","assaut",-1
"494","assaut",-1
"495","sanction",2
"496"," assertions",2
"497"," assertions",2
"498","affirmée",1
"499","évaluer",0
"500","évaluation  ",0
"501","évaluation  ",0
"502","évaluations",0
"503","évaluations",0
"504","actif",1
"505","assidue",2
"506","assidûment",2
"507","apaiser",1
"508","hypothèse",0
"509","hypothèse",0
"510","assurance  ",1
"511","assurance  ",1
"512","assurances",1
"513","assurances",1
"514","assurer",2
"515","assurément",2
"516","étonner",2
"517","étonné",2
"518","étonnant",2
"519","étonnant",2
"520","étonnamment",2
"521","étonnement",2
"522","étonner",2
"523","étonné",2
"524","étonnantes",2
"525","étonnantes",2
"526","étonnantes",2
"527","étonnamment",2
"528","égarés",-1
"529","astronomique",0
"530","astronomique",0
"531","astronomiquement",0
"532","astucieux",2
"533","astucieusement",2
"534","asunder",-2
"535","asile",1
"536","asile",1
"537","atroce",-2
"538","atrocités",-2
"539","atrocité",-2
"540","atrophie",-2
"541","attaque",-1
"542","attaque",-1
"543","atteindre",1
"544","réalisable",1
"545","attentif",2
"546","attester",2
"547","attitude",0
"548","attitude",0
"549"," attitudes",0
"550"," attitudes",0
"551","attraction",2
"552","attraction",2
"553","attrayant",2
"554","attrayant",2
"555","joliment",2
"556","attune",1
"557","audacieux",-2
"558","audacieusement",-2
"559","audace",-2
"560","audacity",-2
"561"," bon augure",2
"562","austere",-2
"563","authentique",1
"564","autoritaire",-1
"565","faisant autorité",1
"566","autocrate",-2
"567","autocratique",-2
"568","prix",1
"569","prix",1
"570","sensibilisation",0
"571","conscient",0
"572","autocratique",-2
"573","autocratique",-2
"574","autonomous",1
"575","avalanche",-2
"576","avalanche",-2
"577","avarice",-2
"578","avare",-2
"579","avariciously",-2
"580","venger",-2
"581","moy",2
"582","aversion ",-2
"583","aversion  ",-2
"584","avid",2
"585","avidement",2
"586","éviter",-1
"587","avoidance",-1
"588"," crainte",2
"589"," crainte",2
"590","impressionné",2
"591","génial",2
"592","génial",2
"593"," manière impressionante",2
"594","awesomeness",2
"595","émerveillé",2
"596","terrible",-2
"597","terrible",-2
"598","terriblement",-2
"599","horreur",-2
"600","horreur",-2
"601","maladroit",-2
"602"," maladresse",-2
"603","ax",-2
"604","babble",-2
"605","bébé",0
"606","bébé",0
"607"," retour",1
"608","backbite",-2
"609"," médisance",-2
"610","épine dorsale",1
"611"," arrière",-2
"612","retard",-2
"613","mauvais",-2
"614","mal",-2
"615","baffle",-2
"616","perplexe",-2
"617","bafflement",-2
"618","déconcertant",-2
"619","appât",-2
"620","équilibré",1
"621","balk",-2
"622","banal",-2
"623","banal",-2
"624","banalize",-2
"625","bane",-2
"626","bannir",-2
"627","bannir",-2
"628"," bannissement",-2
"629","faillite",-1
"630","faillite",-1
"631","bar",-1
"632","barbare",-2
"633","barbare",-2
"634","barbare",-2
"635","barbare",-2
"636"," barbarie",-2
"637"," barbarie",-2
"638","barbare",-2
"639","barbare",-2
"640","sauvagement",-2
"641"," peine",-1
"642","négocier",2
"643","négocier",2
"644","stérile",-2
"645"," fondement",-2
"646","timide",-2
"647"," base",1
"648","fondamentalement",0
"649"," prélasser",1
"650","bâtard",-2
"651","bâtard",-2
"652","coups  matraque",0
"653","coups  matraque",0
"654","battues",-1
"655"," coups",-1
"656"," coups",-1
"657","bataille",-1
"658","bataille-lignes",-2
"659","bataille-lignes",-2
"660","champ  bataille",-1
"661","champ  bataille",-2
"662","champ  bataille",-2
"663","batty",-2
"664","beacon",1
"665","baissier",-1
"666","bête",-2
"667","bête",-2
"668","bestiale",-2
"669","béatifier",2
"670","beau",2
"671","belle",2
"672","belle",2
"673","magnifiquement",2
"674","embellir",2
"675","beauté",2
"676","bedlam",-2
"677","bedlamite",-2
"678","conviennent",2
"679","digne ",2
"680","befoul",-2
"681"," lier amitié ",2
"682","beg",-2
"683","mendiant",-1
"684","pauvres rudiments, auxquels ",-2
"685"," mendicité",-2
"686"," mendicité",-2
"687","séduire",-2
"688","tardive",-1
"689"," revenir",-2
"690","beleaguer",-2
"691","démentent",-2
"692"," croyance",0
"693"," croyance",0
"694","croyances",0
"695","croyances",0
"696","crédible",2
"697","crois",0
"698","rabaisser",-2
"699","rabaissé",-2
"700","rabaisser",-2
"701","belliqueux",-2
"702","belliqueux",-2
"703"," belligérance",-2
"704","belligérant",-2
"705","belligérant",-2
"706","impitoyables missiles animés",-2
"707","bien-aimé",2
"708","déplorer",-2
"709"," lamenter",-2
"710","ahuri",-2
"711","bienfaiteur",1
"712","bénéfique",1
"713","bienfaisante",2
"714","bénéfique",2
"715","véritable",2
"716","bénéficiaire",2
"717","bénéficiaire",2
"718","avantage",1
"719","avantage",1
"720","avantages",1
"721","avantages",1
"722"," bienveillance",2
"723","bienveillant",2
"724","bénigne",1
"725","bent",-1
"726","réprimander",-2
"727","bereave",-2
"728"," deuil",-2
"729","privé",-2
"730","berserk",-2
"731","beseech",-2
"732"," proie",-1
"733","ailleurs",0
"734","battez",-1
"735","besmirch",-2
"736","meilleur",2
"737","plus connu",2
"738"," plus performants",2
"739","best-seller",1
"740","bestial",-2
"741","trahir",-2
"742"," trahison",-2
"743","trahisons",-2
"744","traître",-2
"745","mieux",2
"746","mieux",1
"747","mieux connu",2
"748","mieux  prévu",2
"749","bewail",-2
"750","méfiez-",-1
"751","bewilder",-2
"752","bewildered",-2
"753","bewildering",-2
"754","bewildering",-2
"755","bewilderingly",-2
"756","bewilderment",-2
"757","ensorceler",-2
"758","biais",-2
"759","biais",-2
"760","biais",-2
"761","biaisée",-2
"762","biaisée",-2
"763"," préjugés",-2
"764"," préjugés",-2
"765"," chamailler",-2
"766"," querelles",-2
"767"," truquage offres",-1
"768","gros",0
"769","chienne",-2
"770","garce",-2
"771","mordre",-2
"772","mordant",-2
"773","amer",-2
"774","amèrement",-2
"775","amertume",-2
"776","bizarre",-2
"777","blab",-2
"778","blabla",-2
"779","noir",-1
"780","chantage",-1
"781","bla",-2
"782","blâmer",-2
"783","blâmer",-2
"784","blâmer",-2
"785","irréprochable",2
"786","blâmable",-2
"787","fade",-2
"788","blandish",-2
"789","blasphémer",-2
"790","blasphématoire",-2
"791","blasphématoire",-2
"792"," blasphème",-2
"793","blast",-1
"794","foudroyées",-2
"795","flagrant",-2
"796","manifestement",-2
"797","bêtises",-2
"798","sombre",-2
"799","sombre  morne",-2
"800","tristesse",-2
"801","saigner",-1
"802","défaut",-1
"803","défaut",-1
"804","bénis",2
"805","bénédiction",2
"806","bénédiction",2
"807","aveugle",-1
"808","aveuglante",-2
"809","aveuglante",-2
"810","absolument",-2
"811"," cécité",-1
"812","blindside",-2
"813","bliss",2
"814","heureux",2
"815","béatement",2
"816","blister",-2
"817"," cloques",-2
"818","blithe",2
"819","ballonnement",-2
"820","bloc",-1
"821","bloc",-1
"822","blockhead",-2
"823"," sang",0
"824"," sang",-1
"825","effusion  sang",-2
"826","sanguinaire",-2
"827","sanglante",-1
"828","bloom",1
"829","fleur",1
"830","coup",-1
"831","coup",-1
"832","blunder",-2
"833","blunder",-2
"834","blundering",-2
"835","gaffes",-2
"836","blunt",-2
"837","flou",-1
"838","laisser échapper",-2
"839"," vanter",2
"840"," vanter",-2
"841","vantard",-2
"842","boggle",-2
"843","faux",-2
"844","faire bouillir",-2
"845","ébullition",-2
"846","boisterous",-2
"847","gras",2
"848","hardiment",2
"849","audace",2
"850","renforcer",2
"851","bombarder",-1
"852","bombe",-1
"853","bombardement",-2
"854","bombardement",-2
"855","bombastic",-2
"856","bondage",-2
"857","bonkers",-2
"858","bonkers",-2
"859","bonny",2
"860","bonus",1
"861","boom",1
"862"," plein essor",1
"863","boost",1
"864","boost",1
"865","alésage",-2
"866","ennui",-2
"867","ennuyeux",-2
"868","ennuyeux",-2
"869","botch",-2
"870"," peine",-2
"871"," peine",-2
"872","gênant",-2
"873","illimitée",2
"874","abondance",2
"875","bowdlerize",-2
"876","boycott",-1
"877","boycott",-1
"878","brag",0
"879","brag",0
"880","fanfaron",-2
"881","fanfaron",-2
"882","bragger",-2
"883","bragger",-2
"884"," cerveau",2
"885"," cerveau",2
"886","lavage  cerveau",-2
"887","intello",2
"888","brash",-2
"889","inconsidérément",-2
"890"," fonceur",-2
"891","gosse",-2
"892","bravado",-2
"893","brave",2
"894","brave",2
"895"," bravoure",2
"896"," bravoure",2
"897","airain",-2
"898","effrontément",-2
"899","effrontément",-2
"900","hardiesses",-2
"901","hardiesses",-2
"902","violation",-1
"903","violation",-1
"904","pause",-1
"905","point  rupture",-2
"906","point  rupture",-2
"907","ventilation",-1
"908","percée",1
"909","percée",1
"910","percées",1
"911","percées",1
"912","essoufflement",2
"913","essoufflement",2
"914"," couper  souffle",2
"915"," couper  souffle",2
"916","lumineux",1
"917","égayer",1
"918","luminosité",1
"919","brillance",1
"920","brillant",2
"921","brillant",2
"922","brillamment",2
"923"," soufre",-2
"924"," soufre",-2
"925","rapide",1
"926","poils",-2
"927","fragile",-1
"928","large",1
"929","large",0
"930","cassé",-1
"931"," coeur brisé",-2
"932"," couvée",-2
"933","brook",2
"934","fraternel",1
"935","browbeat",-2
"936","ecchymose",-1
"937","brusque",-2
"938","brutal",-2
"939","brutalisant",-2
"940","brutalisant",-2
"941","brutalités",-2
"942","brutalités",-2
"943"," brutalité",-2
"944","brutaliser",-2
"945"," brutaliser",-2
"946","brutalement",-2
"947","brute",-2
"948","brutal",-2
"949","bug",-1
"950"," boucle  ",-1
"951","encombrants",-1
"952","bull",1
"953","bull",1
"954"," intimidateurs",-2
"955"," intimidateurs",-2
"956","haussier",1
"957","haussier",1
"958","bully",-2
"959","bully",-2
"960","bullyingly",-2
"961","bum",-1
"962","cahoteux",-1
"963","bungle",-2
"964","bungler",-2
"965","bunk",-1
"966","porteur",1
"967","burden",-2
"968","burden",-2
"969","burdensome",-2
"970","burdensome",-2
"971","burdensomely",-2
"972","graver",-2
"973","occupé",-1
"974","busybody",-2
"975","boucher",-1
"976","boucherie",-2
"977","byzantine",-2
"978","côt",-2
"979","cajole",-2
"980","calamités",-2
"981","calamitous",-2
"982","calamitously",-2
"983","calamité",-2
"984","calamité",-2
"985","insensible",-2
"986","calme",1
"987","calme",1
"988","calmant",2
"989"," calme",1
"990"," calomnier",-2
"991","calumniation",-2
"992","calomnies",-2
"993","calomniateurs",-2
"994","calumniously",-2
"995"," calomnie",-2
"996"," cancer",-1
"997","cancéreuses",-1
"998","candide",2
"999"," franchise",2
"1000","cannibal",-2
"1001","cannibalisme",-2
"1002","capable",1
"1003","capacité",1
"1004","habilement",1
"1005","capitaliser",1
"1006","capituler",-1
"1007","capricieux",-2
"1008","capricieusement",-2
"1009"," caprice",-2
"1010","chavirer",-1
"1011","captivate",2
"1012","captivant",2
"1013"," enchantement",2
"1014"," captivité",-1
"1015","soins",1
"1016"," soucis",2
"1017","attention",1
"1018","imprudente",-2
"1019"," négligence",-2
"1020","caricature",-2
"1021","carnage",-2
"1022","  carpe",-2
"1023","dessin animé",-1
"1024","dessin animé",-1
"1025","cartoon",-2
"1026"," court argent",-1
"1027","fustiger",-2
"1028","victime",-1
"1029","cataclysm",-2
"1030","cataclysmal",-2
"1031","cataclysmique",-2
"1032","cataclysmically",-2
"1033","catalyseur",2
"1034","catalyseur",2
"1035","catastrophe",-2
"1036","catastrophe",-2
"1037","catastrophes",-2
"1038","catastrophique",-2
"1039","catastrophique",-2
"1040"," manière catastrophique",-2
"1041","accrocheur",2
"1042","caustique",-2
"1043"," manière caustique",-2
"1044","mise  garde",-2
"1045","prudent",-1
"1046","grotte",-1
"1047","incessante",0
"1048","célébrer",2
"1049","célébré",2
"1050","célébration",2
"1051","fête",2
"1052","célébrité",1
"1053","censure",-2
"1054","censure",-2
"1055","censure",-2
"1056","centrale",0
"1057","certains",0
"1058","certainement",0
"1059","certifié",0
"1060","chafe",-2
"1061"," paille",-2
"1062","chagrin",-2
"1063","chagrin",-2
"1064","défi",-1
"1065","défi",-1
"1066","difficile",-1
"1067","champion",1
"1068","champion",1
"1069","champion",1
"1070","champion",1
"1071","chant",0
"1072","chant",0
"1073","chaos",-2
"1074","chaotique",-2
"1075","charisme",-2
"1076","charismatique",2
"1077"," bienfaisance",1
"1078"," bienfaisance",1
"1079"," charité",1
"1080","charme",2
"1081","charme",2
"1082","charme",2
"1083","charmant",2
"1084","charmant",2
"1085","charme",2
"1086","chaste",2
"1087","châtie",-2
"1088","châtier",-2
"1089","châtiment",-2
"1090","chatter",-2
"1091","chatterbox",-2
"1092","galvauder",-2
"1093"," cher",-2
"1094","tricher",-2
"1095","tricher",-2
"1096","tricheur",-2
"1097","cheer",2
"1098","cheer",2
"1099","joyeux",2
"1100","jovial",2
"1101","triste",-2
"1102","chérir",2
"1103","chéri",2
"1104","chérubin",2
"1105","chic",2
"1106","réprimander",-2
"1107","enfantin",-2
"1108","chill",-1
"1109","froid",-1
"1110","chit",-2
"1111"," chevalerie",2
"1112","chevaleresque",2
"1113","agitée",-1
"1114","starter",-1
"1115","corvée",-1
"1116","chronique",-1
"1117","chum",1
"1118"," civilité",2
"1119"," civilisation",1
"1120","civiliser",1
"1121","civiliser",1
"1122","civile",1
"1123","demande",0
"1124","clameur",-1
"1125","bruyante",-1
"1126","clandestin",0
"1127"," clarté",1
"1128","clash",-1
"1129","clash",-1
"1130","classique",1
"1131","nettoyer",1
"1132"," propreté",1
"1133","nettoyer",1
"1134","claire",1
"1135","claire",2
"1136","plus clair",2
"1137","plus clair",2
"1138","clairement",2
"1139","intelligent",2
"1140","patron",-2
"1141","stéréotypés",-2
"1142","clique",-1
"1143","boucher",-1
"1144","fermer",-1
"1145","proximité",2
"1146","proximité",2
"1147","cloud",-2
"1148","poids",2
"1149","poids",2
"1150","maladroit",-2
"1151"," coopération",1
"1152"," coopération",1
"1153","grossier",-1
"1154","coaxial",2
"1155","arrogant",-2
"1156","coddle",1
"1157","contraindre",-2
"1158"," contrainte",-2
"1159","coercive",-2
"1160","cogent",2
"1161","cohérent",1
"1162","cogiter",0
"1163","connaissance",0
"1164","connaissance",0
"1165","conscient",0
"1166","cohere",1
"1167"," cohérence",2
"1168"," cohérence",2
"1169","cohérent",1
"1170"," cohésion",1
"1171","cohérent",1
"1172","froid",-1
"1173","froidement",-2
"1174","effondrement",-1
"1175","effondrement",-1
"1176","entrent  collision",-1
"1177"," connivence",-2
"1178"," collusion",-2
"1179","coloré",1
"1180","colossal",1
"1181","combatif",-1
"1182","retour",1
"1183","retour",1
"1184","comédie",-1
"1185","comédie",-1
"1186","jolie",2
"1187","confort",1
"1188","confortable",1
"1189","confortable",1
"1190","confortablement",1
"1191","réconfortant",2
"1192","comique",-1
"1193","féliciter",2
"1194","louable",2
"1195","louable",2
"1196","correspondant",1
"1197","pleine  bon sens",1
"1198","commonsensible",1
"1199","commonsensibly",1
"1200","commonsensical",1
"1201","commentaire",0
"1202","commentaire",0
"1203","commentateur",0
"1204","commentateur",0
"1205","commode",1
"1206"," compatir",-2
"1207","engagement",1
"1208","engagement",1
"1209","banal",-1
"1210","agitation",-2
"1211","agitation",-2
"1212","compact",1
"1213"," compassion",2
"1214"," compassion",2
"1215","compatible",1
"1216","compatible",1
"1217","contraindre",-2
"1218","convaincante",2
"1219","convaincante",2
"1220","compenser",2
"1221","compétente",1
"1222","compétence",1
"1223","compétences",1
"1224","compétitif",1
"1225","compétitif",1
"1226"," compétitivité",1
"1227","complaisants",-2
"1228","complaisants",-2
"1229"," plaindre",-2
"1230"," plaindre",-2
"1231"," plaindre",-2
"1232","plainte",-2
"1233"," plaintes",-2
"1234"," plaintes",-2
"1235","complément",2
"1236","complément",1
"1237","complet",0
"1238","complètement",0
"1239","complexe",-1
"1240","conforme",2
"1241","conforme",2
"1242","compliquer",-1
"1243","compliqué",-1
"1244","complication",-1
"1245","complices",-2
"1246","compliment",2
"1247","gratuit",2
"1248","comprendre",0
"1249","complet",1
"1250","compromis",1
"1251","compromis",1
"1252","compromis",1
"1253","compromis",1
"1254","compromis",1
"1255"," contrainte",-2
"1256","compulsif",-2
"1257","obligatoire",-1
"1258","camarades",2
"1259","camarades",2
"1260","concéder",-2
"1261"," vanité",-2
"1262","vaniteux",-2
"1263","concevable",2
"1264","concevable",2
"1265","préoccupation",-2
"1266","préoccupation",-2
"1267","préoccupation",-1
"1268","concernés",-2
"1269","concernant",0
"1270","concernant",0
"1271","préoccupations",-2
"1272","préoccupations",-2
"1273","concertée",0
"1274","concession",-1
"1275","concession",-1
"1276"," concessions",-1
"1277"," concessions",-1
"1278","concilier",2
"1279","conciliant",2
"1280","concluante",1
"1281","béton",1
"1282","accord",2
"1283","daignez",-2
"1284","condescendant",-2
"1285","condescendance",-2
"1286"," condescendance",-2
"1287","condamner",-2
"1288","condamner",-2
"1289","critiques",-2
"1290","condamnation",-2
"1291","condoléances",-2
"1292","condoléances",-2
"1293","condoléances",-2
"1294","tolère",2
"1295","propice",1
"1296","propice",1
"1297","conférer",1
"1298","avouer",-2
"1299"," confession",-2
"1300","confessions",-2
"1301","confessions",-2
"1302","confier",0
"1303"," confiance",2
"1304"," confiance",2
"1305","confiant",2
"1306","conflit",-1
"1307","conflit",-1
"1308","confondre",-1
"1309","confondre",-1
"1310","confondus",-1
"1311","confusion",-1
"1312","affronter",-1
"1313"," confrontation",-2
"1314"," confrontation",-2
"1315"," confrontation",-1
"1316","confondre",-2
"1317","confus",-2
"1318","déroutant",-2
"1319","déroutant",-2
"1320"," confusion",-2
"1321"," confusion",-2
"1322","confute",2
"1323","agréable",2
"1324","encombrée",-1
"1325"," congestion",-1
"1326","féliciter",2
"1327","félicitations",2
"1328","félicitations",2
"1329","félicitations",2
"1330","conjecture",0
"1331"," conquête ",1
"1332","conscience",0
"1333","conscience",1
"1334","consciencieux",2
"1335"," conscience",0
"1336"," conscience",0
